categoria,anio,conteo
Dogma,1773,
Dogma,1774,1.0
Dogma,1775,3.0
Dogma,1776,
Dogma,1777,
Dogma,1778,
Dogma,1779,
Dogma,1780,1.0
Dogma,1781,1.0
Dogma,1782,
Dogma,1783,
Dogma,1784,
Dogma,1785,
Dogma,1786,
Dogma,1787,
Dogma,1788,
Dogma,1789,
Dogma,1790,2.0
Dogma,1791,
Dogma,1792,
Dogma,1793,
Dogma,1794,
Dogma,1795,
Dogma,1797,
Dogma,1799,
Dogma,1800,5.0
Dogma,1801,
Dogma,1802,
Dogma,1803,
Dogma,1805,2.0
Dogma,1806,
Dogma,1808,
Dogma,1809,
Dogma,1810,
Dogma,1811,
Dogma,1812,
Dogma,1813,
Dogma,1814,
Dogma,1816,
Dogma,1817,
Dogma,1818,1.0
Dogma,1819,
Dogma,1820,
Dogma,1821,1.0
Dogma,1822,
Dogma,1824,
Dogma,1830,
Dogma,1832,
Dogma,1834,
Dogma,1840,
Dogma,1850,
Dogma,1852,
Dogma,1858,
Dogma,1860,
Historia,1500,
Historia,1535,
Historia,1539,
Historia,1550,1.0
Historia,1551,
Historia,1554,
Historia,1556,
Historia,1558,
Historia,1560,
Historia,1562,
Historia,1565,
Historia,1568,
Historia,1570,
Historia,1573,
Historia,1575,
Historia,1579,
Historia,1580,
Historia,1581,
Historia,1584,
Historia,1586,
Historia,1587,
Historia,1588,
Historia,1590,
Historia,1594,
Historia,1600,26.0
Historia,1602,
Historia,1603,
Historia,1604,
Historia,1605,
Historia,1606,
Historia,1607,
Historia,1609,
Historia,1610,1.0
Historia,1611,
Historia,1612,
Historia,1615,
Historia,1616,
Historia,1618,
Historia,1619,
Historia,1620,
Historia,1621,
Historia,1624,
Historia,1625,
Historia,1626,
